sample,time,Throttle,SpeedMPH,RPM,CalcLoad,MAFVolts,MAF,STFT,LTFT,IAT,ECT,AFR,TargetAFR,CatTemp
0,8.400,15.6863,0,205.25,100,1.04004,3.36,0,.78125,24,18,.999424,.999454,17.6
1,8.550,15.6863,0,223.25,100,1.06934,3.68,0,2.34375,24,18,.999424,.999454,17.6
2,8.700,15.6863,0,235.5,100,1.08887,3.86,0,2.34375,24,18,.999424,.999454,17.8
3,8.850,15.6863,0,318.5,93.3333,1.12793,4.29,0,2.34375,24,18,.999424,.999454,17.8
4,9.000,15.6863,0,665.5,76.8628,1.27441,5.91,0,2.34375,24,18,1.00098,.999454,17.8
5,9.150,16.0784,0,1294,52.1569,1.49414,10,0,2.34375,24,18,1.00098,.999454,25.9
6,9.300,16.0784,0,1854,38.0392,1.59668,12.47,0,0,24,18,1.00098,.999454,25.9
7,9.450,16.0784,0,2266,29.8039,1.61621,13.02,0,0,24,18,1.00098,.999454,25.9
8,9.600,16.0784,0,2476.75,26.2745,1.64063,13.51,0,0,24,18,1.00098,.999454,42.7
9,9.750,16.0784,0,2581.25,24.3137,1.64551,13.52,0,0,24,18,1.00098,.999454,42.7
10,9.900,16.0784,0,2622.75,23.9216,1.64551,13.57,0,0,24,18,1.00098,.999454,42.7
11,10.050,16.0784,0,2639.5,23.9216,1.64551,13.76,0,0,24,18,1.00098,.999454,42.7
12,10.200,16.0784,0,2635,23.9216,1.64063,13.57,0,0,24,18,1.00098,.999454,60.3
13,10.350,16.4706,0,2613.75,24.7059,1.66016,14.12,0,0,24,18,1.00098,.999454,60.3
14,10.500,16.4706,0,2617.5,24.7059,1.65039,13.82,0,0,24,18,1.00098,.999454,60.3
15,10.650,16.4706,0,2621,24.7059,1.66504,14.18,0,0,24,18,1.00098,.999454,77.9
16,10.800,16.4706,0,2602.25,25.098,1.66504,14.06,0,0,24,18,1.00098,.999454,77.9
17,10.950,16.4706,0,2577.75,25.098,1.66016,13.94,0,0,24,18,1.00098,.999454,77.9
18,11.100,16.4706,0,2533.5,25.8824,1.66504,14.06,0,0,24,18,1.00098,.999454,77.9
19,11.250,16.4706,0,2501.75,26.2745,1.6748,14.31,0,0,24,18,1.00098,.999454,95.1
20,11.400,16.4706,0,2473.5,27.0588,1.6748,14.37,0,0,24,18,1.00098,.999454,95.1
21,11.550,16.4706,0,2441.5,27.8431,1.66992,14.31,0,0,24,18,1.00098,.999454,95.1
22,11.700,16.4706,0,2407.5,28.6275,1.67969,14.37,0,0,24,18,1.00098,.999454,112.5
23,11.850,16.4706,0,2371.75,29.0196,1.66504,14.18,0,0,24,18,1.00098,.999454,112.5
24,12.000,16.4706,0,2344,29.4118,1.68457,14.49,0,0,24,18,1.00098,.999454,112.5
25,12.150,16.4706,0,2340.75,30.1961,1.68457,14.61,0,0,24,18,1.00098,.999454,129.5
26,12.300,16.4706,0,2321.25,30.1961,1.68457,14.49,0,0,24,18,1.00098,.999454,129.5
27,12.450,16.4706,0,2309.5,30.5882,1.67969,14.49,0,0,24,18,1.00098,.999454,129.5
28,12.600,16.4706,0,2301.5,30.5882,1.67969,14.55,0,0,24,18,1.00098,.999454,129.5
29,12.750,16.4706,0,2300.75,30.9804,1.68457,14.67,0,0,24,18,1.00098,.999454,146.1
30,12.900,16.4706,0,2292.75,30.9804,1.67969,14.49,0,0,24,18,1.00098,.999454,146.1
31,13.050,16.4706,0,2273.75,30.9804,1.67969,14.43,0,0,24,18,1.00098,.999454,146.1
32,13.200,16.4706,0,2257,31.3726,1.66992,14.18,0,0,24,18,1.00098,.999454,162.1
33,13.350,16.4706,0,2236,30.9804,1.6748,14.24,0,0,24,18,1.00098,.999454,162.1
34,13.500,16.4706,0,2216.25,31.7647,1.66992,14.24,0,0,24,18,1.00098,.999454,162.1
35,13.650,16.4706,0,2203.75,31.3726,1.66016,14.06,0,0,24,18,1.00098,.999454,162.1
36,13.800,16.4706,0,2188.75,31.7647,1.66016,14,0,0,24,18,1.00098,.999454,177.2
37,13.950,16.0784,0,2182,31.3726,1.65527,13.82,0,0,24,18,1.00098,.999454,177.2
